source,target,weight,Type
545,2531,28,Undirected
549,2131,26,Undirected
3885,2131,13,Undirected
3885,3107,19,Undirected
3885,2139,18,Undirected
766,2131,9,Undirected
766,3107,8,Undirected
1785,60,11,Undirected
1785,3029,13,Undirected
1785,67,11,Undirected
1785,759,10,Undirected
1785,2131,14,Undirected
3325,525,63,Undirected
3325,1014,19,Undirected
3325,2139,179,Undirected
3325,3099,34,Undirected
3325,3115,86,Undirected
3325,2531,34,Undirected
3325,3081,60,Undirected
3325,750,22,Undirected
3325,770,32,Undirected
3325,2524,45,Undirected
3325,2147,13,Undirected
3325,65,111,Undirected
3325,67,79,Undirected
3325,3033,23,Undirected
3325,536,43,Undirected
3325,751,14,Undirected
3325,759,57,Undirected
3325,3073,42,Undirected
3325,1891,15,Undirected
3325,2136,38,Undirected
3325,3107,121,Undirected
3826,3247,18,Undirected
3826,3266,16,Undirected
3042,525,13,Undirected
3042,3119,12,Undirected
3042,2142,18,Undirected
3042,60,16,Undirected
3042,65,27,Undirected
3042,536,20,Undirected
3042,531,28,Undirected
3042,759,14,Undirected
3042,3073,16,Undirected
3042,1745,20,Undirected
3042,2136,14,Undirected
3042,2131,46,Undirected
3042,3107,44,Undirected
360,3256,13,Undirected
251,2139,35,Undirected
2515,738,17,Undirected
2515,3029,35,Undirected
2515,1014,12,Undirected
2515,2139,60,Undirected
2515,3115,37,Undirected
2515,2142,30,Undirected
2515,1891,11,Undirected
2515,759,26,Undirected
2515,2136,20,Undirected
2515,2131,53,Undirected
2515,3107,48,Undirected
2516,2139,33,Undirected
2516,2131,27,Undirected
5058,759,21,Undirected
5058,2139,45,Undirected
3537,3256,24,Undirected
3539,3256,14,Undirected
5056,2139,31,Undirected
5056,2131,24,Undirected
3221,1829,9,Undirected
3221,2998,11,Undirected
3223,2137,11,Undirected
3326,2139,49,Undirected
3326,759,19,Undirected
3326,2131,38,Undirected
3326,3107,35,Undirected
2998,3266,19,Undirected
2998,3249,28,Undirected
2998,3247,31,Undirected
2998,3309,25,Undirected
2998,3034,9,Undirected
3034,3256,41,Undirected
3034,3247,11,Undirected
2994,3256,28,Undirected
3031,3256,16,Undirected
3033,1661,11,Undirected
3033,525,62,Undirected
3033,1014,19,Undirected
3033,3099,48,Undirected
3033,994,14,Undirected
3033,1886,15,Undirected
3033,3119,26,Undirected
3033,3111,23,Undirected
3033,2149,13,Undirected
3033,1879,15,Undirected
3033,3081,86,Undirected
3033,759,76,Undirected
3033,770,45,Undirected
3033,773,12,Undirected
3033,2524,33,Undirected
3033,2147,14,Undirected
3033,2142,49,Undirected
3033,781,9,Undirected
3033,60,63,Undirected
3033,65,106,Undirected
3033,730,45,Undirected
3033,738,47,Undirected
3033,3727,12,Undirected
3033,1891,27,Undirected
3033,3916,9,Undirected
3033,260,14,Undirected
3033,536,53,Undirected
3033,531,82,Undirected
3033,750,31,Undirected
3033,754,11,Undirected
3033,3073,70,Undirected
3033,722,43,Undirected
3033,1745,49,Undirected
3033,1740,43,Undirected
3033,2131,143,Undirected
3033,3107,139,Undirected
3033,3103,17,Undirected
3033,2503,24,Undirected
537,2524,24,Undirected
537,2139,143,Undirected
537,3038,22,Undirected
537,2142,32,Undirected
537,65,81,Undirected
537,1891,20,Undirected
537,994,13,Undirected
537,3029,82,Undirected
537,1014,17,Undirected
537,770,30,Undirected
537,3099,37,Undirected
537,60,48,Undirected
537,67,62,Undirected
537,1879,13,Undirected
537,738,32,Undirected
537,750,22,Undirected
537,759,54,Undirected
